Qty,Value,Footprint,DNP,References,Manufacturer,MPN
26,10k,Resistor_SMD:R_0805_2012Metric,,R3 R5 R7 R9 R11 R25 R26 R27 R28 R29 R36 R39 R44 R47 R52 R55 R60 R63 R68 R71 R76 R79 R84 R87 R92 R95,Yageo,RC0805FR-0710KL
20,BAT54,Package_TO_SOT_SMD:SOT-23,,D9 D10 D11 D12 D15 D16 D19 D20 D23 D24 D27 D28 D31 D32 D35 D36 D39 D40 D43 D44,Nexperia,"BAT54,215"
17,4k7,Resistor_SMD:R_0805_2012Metric,,R30 R32 R33 R40 R41 R48 R49 R56 R57 R64 R65 R72 R73 R80 R81 R88 R89,Yageo,RC0805FR-074K7L
14,100n/50V,Capacitor_SMD:C_0805_2012Metric,,C3 C25 C26 C27 C28 C29 C31 C35 C39 C43 C47 C51 C55 C59,Samsung,CL21B104KBCNNNC
9,1k,Resistor_SMD:R_0805_2012Metric,,R38 R46 R54 R62 R70 R78 R86 R94 R97,Yageo,RC0805FR-071KL
8,10n/50V,Capacitor_SMD:C_0805_2012Metric,,C32 C36 C40 C44 C48 C52 C56 C60,Samsung,CL21B103KBANNNC
8,10u/16V,Capacitor_SMD:C_0805_2012Metric,,C33 C37 C41 C45 C49 C53 C57 C61,Samsung,CL21A106KOQNNNE
8,1k 1%,Resistor_SMD:R_0805_2012Metric,,R35 R43 R51 R59 R67 R75 R83 R91,Yageo,RC0805FR-071KL
8,3k9,Resistor_SMD:R_0805_2012Metric,,R37 R45 R53 R61 R69 R77 R85 R93,Yageo,RC0805FR-073K9L
8,47R,Resistor_SMD:R_0805_2012Metric,,R34 R42 R50 R58 R66 R74 R82 R90,Yageo,RC0805FR-0747RL
8,47n DNP,Capacitor_SMD:C_0805_2012Metric,DNP,C30 C34 C38 C42 C46 C50 C54 C58,Samsung,CL21B473KBANNNC
8,BTS7002-1EPP,Package_SO:Infineon_PG-TSDSO-14-22,,U10 U11 U12 U13 U14 U15 U16 U17,Infineon,BTS70021EPPXUMA1
8,GREEN,LED_SMD:LED_0805_2012Metric,,D13 D17 D21 D25 D29 D33 D37 D41,Wurth Elektronik,150080GS75000
8,RED,LED_SMD:LED_0805_2012Metric,,D14 D18 D22 D26 D30 D34 D38 D42,Wurth Elektronik,150080RS75000
6,10n,Capacitor_SMD:C_0805_2012Metric,,C13 C14 C15 C16 C17 C22,Samsung,CL21B103KBANNNC
5,100n,Capacitor_SMD:C_0805_2012Metric,,C5 C18 C19 C20 C21,Samsung,CL21B104KBCNNNC
5,47k,Resistor_SMD:R_0805_2012Metric,,R4 R6 R8 R10 R12,Yageo,RC0805FR-0747KL
5,BAV99,Package_TO_SOT_SMD:SOT-23,,D4 D5 D6 D7 D8,Nexperia,"BAV99,215"
5,LM2901AVQDR (-Q1),Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,,U5 U6 U7 U8 U9,Texas Instruments,LM2901AVQDRQ1
4,100k,Resistor_SMD:R_0805_2012Metric,,R19 R20 R21 R31,Yageo,RC0805FR-07100KL
3,LS/+12V,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,JP1 JP2 JP3,Wurth Elektronik,61300311121
2,10k 1%,Resistor_SMD:R_0805_2012Metric,,R14 R16,Yageo,RC0805FR-0710KL
2,47u/50V,Capacitor_SMD:CP_Elec_8x10,,C1 C2,Panasonic,EEE-FK1H470P
2,74HC86-Q100,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,,U3 U4,Nexperia,74HC86D-Q100J
1,0.5A PTC 1812L050/33,Fuse:Fuse_1812_4532Metric,,F1,Littelfuse,1812L050/33MR
1,100k 1%,Resistor_SMD:R_0805_2012Metric,,R18,Yageo,RC0805FR-07100KL
1,10u,Capacitor_SMD:C_0805_2012Metric,,C24,Samsung,CL21A106KOQNNNE
1,18V 1W SMAZ18,Diode_SMD:D_SMA,,D45,Diodes Inc.,SMAZ18-13-F
1,1M,Resistor_SMD:R_0805_2012Metric,,R22,Yageo,RC0805FR-071ML
1,1u/50V,Capacitor_SMD:C_0805_2012Metric,,C62,Samsung,CL21B105KBFNNNE
1,220n/100V,Capacitor_SMD:C_0805_2012Metric,,C8,Murata,GCM21BR72A224KA37L
1,22k,Resistor_SMD:R_0805_2012Metric,,R23,Yageo,RC0805FR-0722KL
1,22u/10V tant,Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B,,C4,KEMET,T491B226K010AT
1,300k,Resistor_SMD:R_0805_2012Metric,,R24,Yageo,RC0805FR-07300KL
1,330n,Capacitor_SMD:C_0805_2012Metric,,C23,Samsung,CL21B334KBFNNNE
1,35k7 1%,Resistor_SMD:R_0805_2012Metric,,R13,Yageo,RC0805FR-0735K7L
1,470R,Resistor_SMD:R_1206_3216Metric,,R96,Yageo,RC1206FR-07470RL
1,66k5 1%,Resistor_SMD:R_0805_2012Metric,,R15,Yageo,RC0805FR-0766K5L
1,68k1 1%,Resistor_SMD:R_0805_2012Metric,,R17,Yageo,RC0805FR-0768K1L
1,BSP75N,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,Q2,Infineon,BSP75NH6327XTSA1
1,BSS84,Package_TO_SOT_SMD:SOT-23,,Q1,Nexperia,"BSS84,215"
1,HCCPHPE24BKA90F,PDM:Aptiv_SICMA_HCCPHPE24BKA90F_24P_RA,,J1,Amphenol FCI,HCCPHPE24BKA90F
1,LM2937IMP-5.0,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,U1,Texas Instruments,LM2937IMP-5.0/NOPB
1,M6 VBAT,MountingHole:MountingHole_6.4mm_M6_Pad_Via,,J2,-,-
1,SMBJ33A,Diode_SMD:D_SMB,,D3,Littelfuse,SMBJ33A
1,SMCJ33A,Diode_SMD:D_SMC,,D1,Littelfuse,SMCJ33A
1,SS34,Diode_SMD:D_SMA,,D2,Vishay,SS34-E3/61T
